subject,graph,method,n_channels,accuracy
17,1,3,21,0.825
17,1,3,24,0.8583333333333332
17,1,3,27,0.825
17,1,3,30,0.8333333333333334
17,1,3,30,0.8333333333333334
18,1,1,3,0.7416666666666667
18,1,1,4,0.6916666666666668
18,1,1,5,0.7749999999999999
18,1,1,7,0.7499999999999999
18,1,1,8,0.725
18,1,1,9,0.8
18,1,1,11,0.7833333333333333
18,1,1,12,0.7833333333333334
18,1,1,13,0.85
18,1,1,14,0.8083333333333333
18,1,1,16,0.8333333333333334
18,1,1,18,0.8166666666666667
18,1,1,20,0.8166666666666668
18,1,1,22,0.8416666666666666
18,1,1,29,0.8666666666666668
18,1,1,30,0.8666666666666666
18,1,2,3,0.5583333333333333
18,1,2,6,0.6916666666666668
18,1,2,9,0.8333333333333334
18,1,2,12,0.8583333333333332
18,1,2,15,0.8999999999999998
18,1,2,18,0.8666666666666668
18,1,2,21,0.8916666666666666
18,1,2,24,0.8583333333333334
18,1,2,27,0.8916666666666666
18,1,2,30,0.8666666666666666
18,1,2,30,0.8666666666666666
18,1,3,3,0.7
18,1,3,6,0.7333333333333333
18,1,3,9,0.75
18,1,3,12,0.8083333333333333
18,1,3,15,0.825
18,1,3,18,0.85
18,1,3,21,0.8916666666666668
18,1,3,24,0.9
18,1,3,27,0.9083333333333332
18,1,3,30,0.8666666666666666
18,1,3,30,0.8666666666666666
19,1,1,3,0.7333333333333334
19,1,1,4,0.6833333333333333
19,1,1,5,0.7
19,1,1,7,0.7333333333333334
19,1,1,8,0.725
19,1,1,9,0.675
19,1,1,11,0.6416666666666667
19,1,1,12,0.7499999999999999
19,1,1,13,0.7749999999999999
19,1,1,14,0.6916666666666667
19,1,1,16,0.7
19,1,1,18,0.7333333333333333
19,1,1,20,0.7583333333333333
19,1,1,22,0.7
19,1,1,29,0.7833333333333334
19,1,1,30,0.7833333333333334
19,1,2,3,0.55
19,1,2,6,0.5583333333333333
19,1,2,9,0.7
19,1,2,12,0.6916666666666667
19,1,2,15,0.6833333333333332
19,1,2,18,0.625
19,1,2,21,0.7
19,1,2,24,0.7416666666666667
19,1,2,27,0.7333333333333333
19,1,2,30,0.7833333333333334
19,1,2,30,0.7833333333333334
19,1,3,3,0.7416666666666667
19,1,3,6,0.7166666666666667
19,1,3,9,0.7333333333333333
19,1,3,12,0.725
19,1,3,15,0.7333333333333334
19,1,3,18,0.7166666666666668
19,1,3,21,0.7666666666666666
19,1,3,24,0.7166666666666667
19,1,3,27,0.7583333333333333
19,1,3,30,0.7833333333333334
19,1,3,30,0.7833333333333334
20,1,1,3,0.675
20,1,1,4,0.6333333333333334
20,1,1,5,0.6249999999999999
20,1,1,7,0.5916666666666667
20,1,1,8,0.575
20,1,1,9,0.5916666666666666
20,1,1,11,0.625
20,1,1,12,0.6166666666666667
20,1,1,13,0.5916666666666666
20,1,1,14,0.65
20,1,1,16,0.5416666666666667
20,1,1,18,0.6
20,1,1,20,0.5583333333333333
20,1,1,22,0.6333333333333334
20,1,1,29,0.5666666666666667
20,1,1,30,0.575
20,1,2,3,0.5
20,1,2,6,0.4916666666666667
20,1,2,9,0.5666666666666667
20,1,2,12,0.5916666666666668
20,1,2,15,0.6583333333333334
20,1,2,18,0.5666666666666668
20,1,2,21,0.5416666666666666
20,1,2,24,0.5583333333333333
20,1,2,27,0.5833333333333334
20,1,2,30,0.575
20,1,2,30,0.575
20,1,3,3,0.4666666666666667
20,1,3,6,0.6499999999999999
20,1,3,9,0.5833333333333333
20,1,3,12,0.55
